Accession	Gene_name	Protein_name	Original_ID	Entry_name	Experiment_id
Q16778	HIST2H2BE;H2BFQ	Histone H2B type 2-E	H2B2E_HUMAN	Histone H2B type 2-E	exp054
Q5QNW6	HIST2H2BF	Histone H2B type 2-F	H2B2F_HUMAN	Histone H2B type 2-F	exp054
P57053	H2BFS	Histone H2B type F-S	H2BFS_HUMAN	Histone H2B type F-S	exp054
Q16695	HIST3H3;H3FT	Histone H3.1t	H31T_HUMAN	Histone H3.1t	exp054
P68431	HIST1H3A;H3FA;HIST1H3B;H3FL;HIST1H3C;H3FC;HIST1H3D;H3FB;HIST1H3E;H3FD;HIST1H3F	Histone H3.1	H31_HUMAN	Histone H3.1	exp054
Q71DI3	HIST2H3A;HIST2H3C;H3F2;H3FM;HIST2H3D	Histone H3.2	H32_HUMAN	Histone H3.2	exp054
P84243	H3F3A;H3.3A;H3F3;PP781;H3F3B;H3.3B	Histone H3.3	H33_HUMAN	Histone H3.3	exp054
P62805	HIST1H4	Histone H4	H4_HUMAN	Histone H4	exp054
P69905	HBA1;HBA2	Hemoglobin subunit alpha	HBA_HUMAN	Hemoglobin subunit alpha	exp054
P52272	HNRNPM;HNRPM;NAGR1	Heterogeneous nuclear ribonucleoprotein M	HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M	exp054
P08238	HSP90AB1;HSP90B;HSPC2;HSPCB	Heat shock protein HSP 90-beta	HS90B_HUMAN	Heat shock protein HSP 90-beta	exp054
P11142	HSPA8;HSC70;HSP73;HSPA10	Heat shock cognate 71 kDa protein	HSP7C_HUMAN	Heat shock cognate 71 kDa protein	exp054
Q16891	IMMT;HMP;MINOS2;PIG4;PIG52	Mitochondrial inner membrane protein	IMMT_HUMAN	Mitochondrial inner membrane protein	exp054
P13645	KRT10;KPP	Keratin, type I cytoskeletal 10	K1C10_HUMAN	Keratin, type I cytoskeletal 10	exp054
P35908	KRT2;KRT2A;KRT2E	Keratin, type II cytoskeletal 2 epidermal	K22E_HUMAN	Keratin, type II cytoskeletal 2 epidermal	exp054
P04264	KRT1;KRTA	Keratin, type II cytoskeletal 1	K2C1_HUMAN	Keratin, type II cytoskeletal 1	exp054
Q9ULH0	KIDINS220;ARMS;KIAA1250	Kinase D-interacting substrate of 220 kDa	KDIS_HUMAN	Kinase D-interacting substrate of 220 kDa	exp054
Q13237	PRKG2;PRKGR2	cGMP-dependent protein kinase 2	KGP2_HUMAN	cGMP-dependent protein kinase 2	exp054
P09382	LGALS1	Galectin-1	LEG1_HUMAN	Galectin-1	exp054
P19256	CD58;LFA3	Lymphocyte function-associated antigen 3	LFA3_HUMAN	Lymphocyte function-associated antigen 3	exp054
P02545	LMNA;LMN1	Prelamin-A/C	LMNA_HUMAN	Prelamin-A/C [Cleaved into: Lamin-A/C ]	exp054
P07948	LYN;JTK8	Tyrosine-protein kinase Lyn	LYN_HUMAN	Tyrosine-protein kinase Lyn	exp054
P35240	NF2;SCH	Merlin	MERL_HUMAN	Merlin	exp054
Q08431	MFGE8	Lactadherin	MFGM_HUMAN	Lactadherin	exp054
Q6UVY6	MOXD1;MOX;UNQ2493/PRO5780	DBH-like monooxygenase protein 1	MOXD1_HUMAN	DBH-like monooxygenase protein 1	exp054
Q14764	MVP;LRP	Major vault protein	MVP_HUMAN	Major vault protein	exp054
Q96S97	MYADM;UNQ553/PRO1110	Myeloid-associated differentiation marker	MYADM_HUMAN	Myeloid-associated differentiation marker	exp054
P35579	MYH9	Myosin-9	MYH9_HUMAN	Myosin-9	exp054
P60660	MYL6	Myosin light polypeptide 6	MYL6_HUMAN	Myosin light polypeptide 6	exp054
O43795	MYO1B	Unconventional myosin-Ib	MYO1B_HUMAN	Unconventional myosin-Ib	exp054
O00159	MYO1C	Unconventional myosin-Ic	MYO1C_HUMAN	Unconventional myosin-Ic	exp054
O94832	MYO1D;KIAA0727	Unconventional myosin-Id	MYO1D_HUMAN	Unconventional myosin-Id	exp054
Q9NZM1	MYOF;FER1L3;KIAA1207	Myoferlin	MYOF_HUMAN	Myoferlin	exp054
P08473	MME;EPN	Neprilysin	NEP_HUMAN	Neprilysin	exp054
P06748	NPM1;NPM	Nucleophosmin	NPM_HUMAN	Nucleophosmin	exp054
Q9P121	NTM;IGLON2;NT;UNQ297/PRO337	Neurotrimin	NTRI_HUMAN	Neurotrimin	exp054
Q02218	OGDH	2-oxoglutarate dehydrogenase, mitochondrial	ODO1_HUMAN	2-oxoglutarate dehydrogenase, mitochondrial	exp054
P36957	DLST;DLTS	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	ODO2_HUMAN	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	exp054
Q9UKS6	PACSIN3	Protein kinase C and casein kinase substrate in neurons protein 3	PACN3_HUMAN	Protein kinase C and casein kinase substrate in neurons protein 3	exp054
Q99623	PHB2;BAP;REA	Prohibitin-2	PHB2_HUMAN	Prohibitin-2	exp054
P35232	PHB	Prohibitin	PHB_HUMAN	Prohibitin	exp054
Q15149	PLEC;PLEC1	Plectin	PLEC_HUMAN	Plectin	exp054
P62937	PPIA;CYPA	Peptidyl-prolyl cis-trans isomerase A	PPIA_HUMAN	Peptidyl-prolyl cis-trans isomerase A	exp054
P04156	PRNP;PRIP;PRP	Major prion protein	PRIO_HUMAN	Major prion protein	exp054
P23470	PTPRG;PTPG	Receptor-type tyrosine-protein phosphatase gamma	PTPRG_HUMAN	Receptor-type tyrosine-protein phosphatase gamma	exp054
Q6NZI2	PTRF;FKSG13	Polymerase I and transcript release factor	PTRF_HUMAN	Polymerase I and transcript release factor	exp054
Q15286	RAB35;RAB1C;RAY	Ras-related protein Rab-35	RAB35_HUMAN	Ras-related protein Rab-35	exp054
P63000	RAC1;TC25;MIG5	Ras-related C3 botulinum toxin substrate 1	RAC1_HUMAN	Ras-related C3 botulinum toxin substrate 1	exp054
P11234	RALB	Ras-related protein Ral-B	RALB_HUMAN	Ras-related protein Ral-B	exp054
P62834	RAP1A;KREV1	Ras-related protein Rap-1A	RAP1A_HUMAN	Ras-related protein Rap-1A	exp054
P61224	RAP1B;OK/SW-cl.11	Ras-related protein Rap-1b	RAP1B_HUMAN	Ras-related protein Rap-1b	exp054
P61225	RAP2B	Ras-related protein Rap-2b	RAP2B_HUMAN	Ras-related protein Rap-2b	exp054
Q14644	RASA3	Ras GTPase-activating protein 3	RASA3_HUMAN	Ras GTPase-activating protein 3	exp054
P26373	RPL13;BBC1;OK/SW-cl.46	60S ribosomal protein L13	RL13_HUMAN	60S ribosomal protein L13	exp054
Q07020	RPL18	60S ribosomal protein L18	RL18_HUMAN	60S ribosomal protein L18	exp054
P62829	RPL23	60S ribosomal protein L23	RL23_HUMAN	60S ribosomal protein L23	exp054
P83731	RPL24	60S ribosomal protein L24	RL24_HUMAN	60S ribosomal protein L24	exp054
P36578	RPL4;RPL1	60S ribosomal protein L4	RL4_HUMAN	60S ribosomal protein L4	exp054
Q02878	RPL6;TXREB1	60S ribosomal protein L6	RL6_HUMAN	60S ribosomal protein L6	exp054
P62424	RPL7A;SURF-3;SURF3	60S ribosomal protein L7a	RL7A_HUMAN	60S ribosomal protein L7a	exp054
P05386	RPLP1;RRP1	60S acidic ribosomal protein P1	RLA1_HUMAN	60S acidic ribosomal protein P1	exp054
P05387	RPLP2;D11S2243E;RPP2	60S acidic ribosomal protein P2	RLA2_HUMAN	60S acidic ribosomal protein P2	exp054
P62070	RRAS2;TC21	Ras-related protein R-Ras2	RRAS2_HUMAN	Ras-related protein R-Ras2	exp054
P10301	RRAS	Ras-related protein R-Ras	RRAS_HUMAN	Ras-related protein R-Ras	exp054
P62249	RPS16	40S ribosomal protein S16	RS16_HUMAN	40S ribosomal protein S16	exp054
P62847	RPS24	40S ribosomal protein S24	RS24_HUMAN	40S ribosomal protein S24	exp054
P15880	RPS2;RPS4	40S ribosomal protein S2	RS2_HUMAN	40S ribosomal protein S2	exp054
P62701	RPS4X;CCG2;RPS4;SCAR	40S ribosomal protein S4, X isoform	RS4X_HUMAN	40S ribosomal protein S4, X isoform	exp054
P62081	RPS7	40S ribosomal protein S7	RS7_HUMAN	40S ribosomal protein S7	exp054
P60903	S100A10;ANX2LG;CAL1L;CLP11	Protein S100-A10	S10AA_HUMAN	Protein S100-A10	exp054
P50443	SLC26A2;DTD;DTDST	Sulfate transporter	S26A2_HUMAN	Sulfate transporter	exp054
Q8N474	SFRP1;FRP;FRP1;SARP2	Secreted frizzled-related protein 1	SFRP1_HUMAN	Secreted frizzled-related protein 1	exp054
O00161	SNAP23	Synaptosomal-associated protein 23	SNP23_HUMAN	Synaptosomal-associated protein 23	exp054
Q01082	SPTBN1;SPTB2	Spectrin beta chain, non-erythrocytic 1	SPTB2_HUMAN	Spectrin beta chain, non-erythrocytic 1	exp054
P27105	STOM;BND7;EPB72	Erythrocyte band 7 integral membrane protein	STOM_HUMAN	Erythrocyte band 7 integral membrane protein	exp054
P68363	TUBA1B	Tubulin alpha-1B chain	TBA1B_HUMAN	Tubulin alpha-1B chain	exp054
P07437	TUBB;TUBB5;OK/SW-cl.56	Tubulin beta chain	TBB5_HUMAN	Tubulin beta chain	exp054
P55072	VCP	Transitional endoplasmic reticulum ATPase	TERA_HUMAN	Transitional endoplasmic reticulum ATPase	exp054
P35625	TIMP3	Metalloproteinase inhibitor 3	TIMP3_HUMAN	Metalloproteinase inhibitor 3	exp054
P08582	MFI2;MAP97	Melanotransferrin	TRFM_HUMAN	Melanotransferrin	exp054
Q03405	PLAUR;MO3;UPAR	Urokinase plasminogen activator surface receptor	UPAR_HUMAN	Urokinase plasminogen activator surface receptor	exp054
P61421	ATP6V0D1;ATP6D;VPATPD	V-type proton ATPase subunit d 1	VA0D1_HUMAN	V-type proton ATPase subunit d 1	exp054
Q15904	ATP6AP1;ATP6IP1;ATP6S1;VATPS1;XAP3	V-type proton ATPase subunit S1	VAS1_HUMAN	V-type proton ATPase subunit S1	exp054
P38606	ATP6V1A;ATP6A1;ATP6V1A1;VPP2	V-type proton ATPase catalytic subunit A	VATA_HUMAN	V-type proton ATPase catalytic subunit A	exp054
P21281	ATP6V1B2;ATP6B2;VPP3	V-type proton ATPase subunit B, brain isoform	VATB2_HUMAN	V-type proton ATPase subunit B, brain isoform	exp054
P21283	ATP6V1C1;ATP6C;ATP6D;VATC	V-type proton ATPase subunit C 1	VATC1_HUMAN	V-type proton ATPase subunit C 1	exp054
O75348	ATP6V1G1;ATP6G;ATP6G1;ATP6J	V-type proton ATPase subunit G 1	VATG1_HUMAN	V-type proton ATPase subunit G 1	exp054
P27449	ATP6V0C;ATP6C;ATP6L;ATPL	V-type proton ATPase 16 kDa proteolipid subunit	VATL_HUMAN	V-type proton ATPase 16 kDa proteolipid subunit	exp054
P21796	VDAC1;VDAC	Voltage-dependent anion-selective channel protein 1	VDAC1_HUMAN	Voltage-dependent anion-selective channel protein 1	exp054
P45880	VDAC2	Voltage-dependent anion-selective channel protein 2	VDAC2_HUMAN	Voltage-dependent anion-selective channel protein 2	exp054
P08670	VIM	Vimentin	VIME_HUMAN	Vimentin	exp054
Q93050	ATP6V0A1;ATP6N1;ATP6N1A;VPP1	V-type proton ATPase 116 kDa subunit a isoform 1	VPP1_HUMAN	V-type proton ATPase 116 kDa subunit a isoform 1	exp054
Q13488	TCIRG1;ATP6N1C;ATP6V0A3	V-type proton ATPase 116 kDa subunit a isoform 3	VPP3_HUMAN	V-type proton ATPase 116 kDa subunit a isoform 3	exp054
O75695	RP2	Protein XRP2	XRP2_HUMAN	Protein XRP2	exp054
P07947	YES1;YES	Tyrosine-protein kinase Yes	YES_HUMAN	Tyrosine-protein kinase Yes	exp054
P63104	YWHAZ	14-3-3 protein zeta/delta	1433Z_HUMAN	14-3-3 protein zeta/delta	exp054
P63261	ACTG1;ACTB;ACTG	Actin, cytoplasmic 2	ACTG_HUMAN	Actin, cytoplasmic 2  [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	exp054
P12814	ACTN1	Alpha-actinin-1	ACTN1_HUMAN	Alpha-actinin-1	exp054
O43707	ACTN4	Alpha-actinin-4	ACTN4_HUMAN	Alpha-actinin-4	exp054
P05141	SLC25A5;ANT2	ADP/ATP translocase 2	ADT2_HUMAN	ADP/ATP translocase 2	exp054
Q09666	AHNAK;PM227	Neuroblast differentiation-associated protein AHNAK	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK	exp054
P15144	ANPEP;APN;CD13;PEPN	Aminopeptidase N	AMPN_HUMAN	Aminopeptidase N	exp054
P07355	ANXA2;ANX2;ANX2L4;CAL1H;LPC2D	Annexin A2	ANXA2_HUMAN	Annexin A2	exp054
P08133	ANXA6;ANX6	Annexin A6	ANXA6_HUMAN	Annexin A6	exp054
P04114	APOB	Apolipoprotein B-100	APOB_HUMAN	Apolipoprotein B-100 ]	exp054
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	AT1A1_HUMAN	Sodium/potassium-transporting ATPase subunit alpha-1	exp054
P06576	ATP5B;ATPMB;ATPSB	ATP synthase subunit beta, mitochondrial	ATPB_HUMAN	ATP synthase subunit beta, mitochondrial	exp054
Q15582	TGFBI;BIGH3	Transforming growth factor-beta-induced protein ig-h3	BGH3_HUMAN	Transforming growth factor-beta-induced protein ig-h3	exp054
Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1_HUMAN	ADP-ribosyl cyclase 2	exp054
Q10589	BST2	Bone marrow stromal antigen 2	BST2_HUMAN	Bone marrow stromal antigen 2	exp054
P55290	CDH13;CDHH	Cadherin-13	CAD13_HUMAN	Cadherin-13	exp054
P62158	CALM1;CALM;CAM;CAM1;CALM2;CAM2;CAMB;CALM3;CALML2;CAM3;CAMC;CAMIII	Calmodulin	CALM_HUMAN	Calmodulin	exp054
O15484	CAPN5;NCL3	Calpain-5	CAN5_HUMAN	Calpain-5	exp054
Q03135	CAV1;CAV	Caveolin-1	CAV1_HUMAN	Caveolin-1	exp054
Q6YHK3	CD109;CPAMD7	CD109 antigen	CD109_HUMAN	CD109 antigen	exp054
P16070	CD44;LHR;MDU2;MDU3;MIC4	CD44 antigen	CD44_HUMAN	CD44 antigen	exp054
P13987	CD59;MIC11;MIN1;MIN2;MIN3;MSK21	CD59 glycoprotein	CD59_HUMAN	CD59 glycoprotein	exp054
P13688	CEACAM1;BGP;BGP1	Carcinoembryonic antigen-related cell adhesion molecule 1	CEAM1_HUMAN	Carcinoembryonic antigen-related cell adhesion molecule 1	exp054
Q00610	CLTC;CLH17;CLTCL2;KIAA0034	Clathrin heavy chain 1	CLH1_HUMAN	Clathrin heavy chain 1	exp054
Q86YQ8	CPNE8	Copine-8	CPNE8_HUMAN	Copine-8	exp054
P35221	CTNNA1	Catenin alpha-1	CTNA1_HUMAN	Catenin alpha-1	exp054
O60716	CTNND1;KIAA0384	Catenin delta-1	CTND1_HUMAN	Catenin delta-1	exp054
P08174	CD55;CR;DAF	Complement decay-accelerating factor	DAF_HUMAN	Complement decay-accelerating factor	exp054
Q14126	DSG2;CDHF5	Desmoglein-2	DSG2_HUMAN	Desmoglein-2	exp054
O43491	EPB41L2	Band 4.1-like protein 2	E41L2_HUMAN	Band 4.1-like protein 2	exp054
P40939	HADHA;HADH	Trifunctional enzyme subunit alpha, mitochondrial	ECHA_HUMAN	Trifunctional enzyme subunit alpha, mitochondrial	exp054
P55084	HADHB;MSTP029	Trifunctional enzyme subunit beta, mitochondrial	ECHB_HUMAN	Trifunctional enzyme subunit beta, mitochondrial	exp054
P68104	EEF1A1;EEF1A;EF1A;LENG7	Elongation factor 1-alpha 1	EF1A1_HUMAN	Elongation factor 1-alpha 1	exp054
Q5VTE0	EEF1A1P5;EEF1AL3	Putative elongation factor 1-alpha-like 3	EF1A3_HUMAN	Putative elongation factor 1-alpha-like 3	exp054
P14625	HSP90B1;GRP94;TRA1	Endoplasmin	ENPL_HUMAN	Endoplasmin	exp054
O94905	ERLIN2;C8orf2;SPFH2;UNQ2441/PRO5003/PRO9924	Erlin-2	ERLN2_HUMAN	Erlin-2	exp054
Q9Y4F1	FARP1;CDEP;PLEKHC2	FERM, RhoGEF and pleckstrin domain-containing protein 1	FARP1_HUMAN	FERM, RhoGEF and pleckstrin domain-containing protein 1	exp054
P02765	AHSG;FETUA;PRO2743	Alpha-2-HS-glycoprotein	FETUA_HUMAN	Alpha-2-HS-glycoprotein	exp054
O75955	FLOT1	Flotillin-1	FLOT1_HUMAN	Flotillin-1	exp054
Q14254	FLOT2;ESA1;M17S1	Flotillin-2	FLOT2_HUMAN	Flotillin-2	exp054
P06241	FYN	Tyrosine-protein kinase Fyn	FYN_HUMAN	Tyrosine-protein kinase Fyn	exp054
P04406	GAPDH;GAPD;CDABP0047;OK/SW-cl.12	Glyceraldehyde-3-phosphate dehydrogenase	G3P_HUMAN	Glyceraldehyde-3-phosphate dehydrogenase	exp054
Q9H4G4	GLIPR2;C9orf19;GAPR1	Golgi-associated plant pathogenesis-related protein 1	GAPR1_HUMAN	Golgi-associated plant pathogenesis-related protein 1	exp054
P62873	GNB1	Guanine nucleotide-binding protein G	GBB1_HUMAN	Guanine nucleotide-binding protein G	exp054
P62879	GNB2	Guanine nucleotide-binding protein G	GBB2_HUMAN	Guanine nucleotide-binding protein G	exp054
Q9HAV0	GNB4	Guanine nucleotide-binding protein subunit beta-4	GBB4_HUMAN	Guanine nucleotide-binding protein subunit beta-4	exp054
Q9UBI6	GNG12	Guanine nucleotide-binding protein G subunit gamma-12	GBG12_HUMAN	Guanine nucleotide-binding protein G subunit gamma-12	exp054
Q99988	GDF15;MIC1;PDF;PLAB;PTGFB	Growth/differentiation factor 15	GDF15_HUMAN	Growth/differentiation factor 15	exp054
P07093	SERPINE2;PI7;PN1	Glia-derived nexin	GDN_HUMAN	Glia-derived nexin	exp054
P06396	GSN	Gelsolin	GELS_HUMAN	Gelsolin	exp054
P29992	GNA11;GA11	Guanine nucleotide-binding protein subunit alpha-11	GNA11_HUMAN	Guanine nucleotide-binding protein subunit alpha-11	exp054
Q14344	GNA13	Guanine nucleotide-binding protein subunit alpha-13	GNA13_HUMAN	Guanine nucleotide-binding protein subunit alpha-13	exp054
P63096	GNAI1	Guanine nucleotide-binding protein G	GNAI1_HUMAN	Guanine nucleotide-binding protein G	exp054
P04899	GNAI2;GNAI2B	Guanine nucleotide-binding protein G	GNAI2_HUMAN	Guanine nucleotide-binding protein G	exp054
P08754	GNAI3	Guanine nucleotide-binding protein G	GNAI3_HUMAN	Guanine nucleotide-binding protein G	exp054
P50148	GNAQ;GAQ	Guanine nucleotide-binding protein G	GNAQ_HUMAN	Guanine nucleotide-binding protein G	exp054
Q5JWF2	GNAS;GNAS1	Guanine nucleotide-binding protein G	GNAS1_HUMAN	Guanine nucleotide-binding protein G	exp054
Q9NQ84	GPRC5C;RAIG3;PSEC0087	G-protein coupled receptor family C group 5 member C	GPC5C_HUMAN	G-protein coupled receptor family C group 5 member C	exp054
Q9Y625	GPC6;UNQ369/PRO705	Glypican-6	GPC6_HUMAN	Glypican-6 [Cleaved into: Secreted glypican-6]	exp054
P11166	SLC2A1;GLUT1	Solute carrier family 2, facilitated glucose transporter member 1	GTR1_HUMAN	Solute carrier family 2, facilitated glucose transporter member 1	exp054
P10412	HIST1H1E;H1F4	Histone H1.4	H14_HUMAN	Histone H1.4	exp054
P04908	HIST1H2AB;H2AFM;HIST1H2AE;H2AFA	Histone H2A type 1-B/E	H2A1B_HUMAN	Histone H2A type 1-B/E	exp054
Q93077	HIST1H2AC;H2AFL	Histone H2A type 1-C	H2A1C_HUMAN	Histone H2A type 1-C	exp054
P20671	HIST1H2AD;H2AFG	Histone H2A type 1-D	H2A1D_HUMAN	Histone H2A type 1-D	exp054
Q96KK5	HIST1H2AH;HIST1H2AI	Histone H2A type 1-H	H2A1H_HUMAN	Histone H2A type 1-H	exp054
Q99878	HIST1H2AJ;H2AFE	Histone H2A type 1-J	H2A1J_HUMAN	Histone H2A type 1-J	exp054
P0C0S8	HIST1H2AG;H2AFP;HIST1H2AI;H2AFC;HIST1H2AK;H2AFD;HIST1H2AL;H2AFI;HIST1H2AM;H2AFN	Histone H2A type 1	H2A1_HUMAN	Histone H2A type 1	exp054
Q6FI13	HIST2H2AA3;H2AFO;HIST2H2AA;HIST2H2AA4	Histone H2A type 2-A	H2A2A_HUMAN	Histone H2A type 2-A	exp054
P08712	HSP90B1;GRP94	Endoplasmin	P08712	Endoplasmin	exp055
Q6WRU0	Bst2	Bone marrow stromal antigen 2	Q6WRU0	GPI-anchored protein GREG	exp055
Q5SW87	Rab1	Ras-related protein Rab-1A	Q5SW87	RAB1	exp055
Q4FJL0	Rab10;mCG_7949	RAB10, member RAS oncogene family	Q4FJL0	RAB10	exp055
Q91V41	Rab14	Ras-related protein Rab-14	Q91V41	RAB14	exp055
P35293	Rab18	Ras-related protein Rab-18	P35293	RAB18	exp055
P53994	Rab2a;Rab2	Ras-related protein Rab-2A	P53994	RAB2A	exp055
P61021	Rab5b	Ras-related protein Rab-5B	P61021	RAB5B	exp055
Q3TCT9	Rab5c	Putative uncharacterized protein	Q3TCT9	RAB5C	exp055
Q3U4W5	Rab6a;Rab6;mCG_2848	RAB6, member RAS oncogene family, isoform CRA_c	Q3U4W5	RAB6	exp055
Q4AEF6	NA	Ras-related protein Rab-7a	Q4AEF6	RAB7	exp055
P13596	Ncam1;Ncam	Neural cell adhesion molecule 1	P13596	RAB7a	exp055
P63321	Rala;Ral;Ral-a	Ras-related protein Ral-A	P63321	Ral-A precursor	exp055
Q3UZ06	Sec22b;Sec22l1	Putative uncharacterized protein	Q3UZ06	SEC22 vesicle trafficking protein-like 1	exp055
O70377	Snap23	Synaptosomal-associated protein 23	O70377	SNAP-23	exp055
Q5F234	NA	Syntaxin 8, isoform CRA_a	Q5F234	Syntaxin 8	exp055
O35587	TMED10;TMP21	Transmembrane protein Tmp21	O35587	Transmembrane protein Tmp21 precursor	exp055
Q9WV55	Vapa;Vap33	Vesicle-associated membrane protein-associated protein A	Q9WV55	VAMP-associated protein A (VAMP-A)	exp055
O88384	Vti1b;Vti1l1	Vesicle transport through interaction with t-SNAREs homolog 1B	O88384	Vesicle transport v-SNARE protein Vti1-like 1 (Vti1-rp1)	exp055
Q791V5	Mtch2	Mitochondrial carrier homolog 2	Q791V5	Mitochondrial carrier homolog 2	exp055
O54724	Ptrf	Polymerase I and transcript release factor	O54724	Polymerase I and transcript release factor	exp055
Q9Z239	Fxyd1;Plm	Phospholemman	Q9Z239	Phospholemman precursor	exp055
Q3TH64	Cyb5b	Putative uncharacterized protein	Q3TH64	Q3TH64	exp055
Q6UL10	NA	AHNAK	Q6UL10	Q6UL10	exp055
Q9QUR8	Sema7a;Cd108;Semal;Semk1	Semaphorin-7A	Q9QUR8	Semaphorin-7A precursor	exp055
Q3TJK3	Serpinh1	Putative uncharacterized protein	Q3TJK3	serine (or cysteine) proteinase inhibitor	exp055
Q3TIP1	Slc3a2	Putative uncharacterized protein	Q3TIP1	solute carrier family 3	exp055
Q6P791	Lamtor1	Ragulator complex protein LAMTOR1	Q6P791	UPF0404 protein C11orf59 homolog	exp055
P56564	Slc1a3;Eaat1;Gmt1	Excitatory amino acid transporter 1	P56564	Excitatory amino acid transporter 1	exp055
Q3UFR4	Slc1a5	Putative uncharacterized protein	Q3UFR4	Neutral amino acid transporter ASCT2	exp055
Q9JKY1	PRDX1;TDPX2	Peroxiredoxin-1	Q9JKY1	Peroxiredoxin-1	exp055
Q71FK5	ACTB	Actin, cytoplasmic 1	Q71FK5	Actin, cytoplasmic 1 (Beta-actin)	exp055
P63260	Actg1;Actg	Actin, cytoplasmic 2	P63260	Actin, cytoplasmic 2 (Gamma-actin)	exp055
Q7TSH1	NA	Actin-related protein 3B	Q7TSH1	Actr3b protein	exp055
Q8BMK4	Ckap4	Cytoskeleton-associated protein 4	Q8BMK4	Cytoskeleton-associated protein 4	exp055
P47757	Capzb;Cappb1	F-actin-capping protein subunit beta	P47757	F-actin-capping protein subunit beta	exp055
Q5M810	Myo1g	Myo1g protein	Q5M810	Myo1g protein	exp055
Q3UFT0	Myh9	Putative uncharacterized protein	Q3UFT0	myosin heavy chain IX	exp055
Q63355	Myo1c;Myr2	Unconventional myosin-Ic	Q63355	Myosin I heavy chain	exp055
P14869	Rplp0;Arbp	60S acidic ribosomal protein P0	P14869	Myosin regulatory light chain 2-A	exp055
P46735	Myo1b	Unconventional myosin-Ib	P46735	Myosin-Ib	exp055
Q9ERB6	NA	Unconventional myosin-Ic	Q9ERB6	Nuclear myosin I beta	exp055
P30427	Plec;Plec1	Plectin	P30427	Plectin-1	exp055
Q9EPK2	Rp2;Rp2h	Protein XRP2	Q9EPK2	Protein XRP2	exp055
P54116	Stom;Epb7.2;Epb72	Erythrocyte band 7 integral membrane protein	P54116	Stomatin	exp055
P68372	Tubb4b;Tubb2c	Tubulin beta-4B chain	P68372	Tubulin beta-2C chain	exp055
Q3TWV0	Vim	Putative uncharacterized protein	Q3TWV0	vimentin	exp055
Q8K3H8	NA	Calnexin	Q8K3H8	Calnexin	exp055
Q8BFZ9	Erlin2;Spfh2	Erlin-2	Q8BFZ9	Erlin-2 precursor	exp055
O08917	Flot1	Flotillin-1	O08917	Flotillin-1	exp055
Q9Z2S9	Flot2;Reg1	Flotillin-2	Q9Z2S9	Flotillin-2	exp055
P17809	Slc2a1;Glut-1;Glut1	Solute carrier family 2, facilitated glucose transporter member 1	P17809	Glucose transporter type 1 GLUT-1)	exp055
Q3UAZ6	NA	ATP-binding cassette sub-family B member 6, mitochondrial	Q3UAZ6	ATP-binding cassette, sub-family B (MDR/TAP),member 6	exp055
O88783	F5	Coagulation factor V	O88783	Coagulation factor V	exp055
Q6PFA8	NA	DBH-like monooxygenase protein 1	Q6PFA8	Moxd1 protein	exp055
Q3TVE3	S100a16	Putative uncharacterized protein	Q3TVE3	similar to S100 calcium-binding protein A16	exp055
Q7TMC7	Tf;Srprb	Ab2-417	Q7TMC7	Ab2-417 (Cc1-8)	exp055
P51881	Slc25a5;Ant2	ADP/ATP translocase 2	P51881	ADP/ATP translocase 2	exp055
Q8VDN2	Atp1a1	Sodium/potassium-transporting ATPase subunit alpha-1	Q8VDN2	Na(+)/K(+) ATPase alpha-1 subunit	exp055
Q3TX38	Vdac3	Putative uncharacterized protein	Q3TX38	voltage-dependent anion channel 3	exp055
Q9Z2L0	Vdac1	Voltage-dependent anion-selective channel protein 1	Q9Z2L0	Voltage-dependent anion-selective channel protein 1 (VDAC-1)	exp055
Q60930	Vdac2;Vdac6	Voltage-dependent anion-selective channel protein 2	Q60930	Voltage-dependent anion-selective channel protein 2 (VDAC-2)	exp055
O08532	Cacna2d1;Cacna2	Voltage-dependent calcium channel subunit alpha-2/delta-1	O08532	Voltage-dependent calcium channel subunit alpha-2/delta-1	exp055
